team_id,season,week,team_id_opp,matchup_type,result,score_team,score_opp
1073363,2017,9,1073420,Division Game,L,67.72,79.62
1073363,2018,1,1073370,Division Game,W,91.94,68.32
1073363,2018,2,1107405,Division Game,W,108.78,107.48
1073363,2018,3,1073671,Non-Division Game,L,91,99.44
1073370,2014,1,1107405,Division Game,L,96.92,113.24
1073370,2014,10,1087309,Non-Division Game,L,111.68,162.22
1073370,2014,11,1073358,Division Game,L,63.62,69.7
1073370,2014,12,1073420,Division Game,W,107.04,82.72
1073370,2014,13,1073363,Division Game,L,75.46,106.98
1073370,2014,14,1073671,Consolation Game,L,59.06,121.74
1073370,2014,2,1115989,Division Game,W,89.8,63.62
1073370,2014,3,1089754,Non-Division Game,L,99.44,109
1073370,2014,4,1073358,Division Game,L,93.68,103.08
1073370,2014,5,1073420,Division Game,W,94.72,83.94
1073370,2014,6,1073363,Division Game Commish Edit,W,114.32,75.6
1073370,2014,7,1073671,Non-Division Game,L,66.6,95.66
1073370,2014,8,1107405,Division Game,L,104.18,104.36
1073370,2014,9,1115989,Division Game,L,59.52,96.98
1073370,2015,1,1107405,Division Game,L,72.34,111.42
1073370,2015,10,1075098,Non-Division Game,L,100.54,108.72
1073370,2015,11,1073358,Division Game,L,61.14,97.68
1073370,2015,12,1073420,Division Game,L,61.96,72.1
1073370,2015,13,1073363,Division Game,L,32.1,132.84
1073370,2015,14,1115989,Consolation Game,L,44.5,75.46
1073370,2015,2,1115989,Division Game,W,127.26,78.22
1073370,2015,3,1073361,Non-Division Game,W,87.58,71.8
1073370,2015,4,1073358,Division Game,L,63.48,90.38
1073370,2015,5,1073420,Division Game,W,83.14,75.16
1073370,2015,6,1073363,Division Game,L,66.66,85.16
1073370,2015,7,1073395,Non-Division Game,L,48.3,80.5
1073370,2015,8,1107405,Division Game,L,97.7,101.24
1073370,2015,9,1115989,Division Game,L,66.32,85.16
1073370,2016,1,1073363,Division Game,L,95,97.06
1073370,2016,10,1073671,Non-Division Game,L,81.4,97.52
1073370,2016,11,1073358,Division Game,W,95.38,82.5
1073370,2016,12,1115989,Division Game,W,105.66,57.26
1073370,2016,13,1107405,Division Game,W,85.6,61.9
